pgscan_kswapd,pgscan_direct,pgscan_direct_throttle,pgscan_anon,pgscan_file,pgsteal_anon,pgsteal_file,,,,,
540596161,1043236499,0,0,1583832660,0,1583796750,,,,,
649647424,1291226560,0,0,1940873984,0,1940873627,,,1.2,,1.17611111111111
,,,,,,,,,,,1.17611111111111
,,,,,,,,,,,
482426701,3385247,0,0,485811948,0,485789863,,,,,
597515200,0,0,0,597515200,0,597514960,,,1.24,,
,,,,,,,,,,,
,,,,,,,,,,,
806328317,54786903,0,0,861115220,0,861087214,,,,,
985791744,27686656,0,0,1013478400,0,1013478067,,,1.22,,
,,,,,,,,,,,
,,,,,,,,,,,
551879078,1026605974,0,0,1578485052,0,1578451015,,,,,
656236992,1272585088,0,0,1928822080,0,1928821726,,,1.19,,
,,,,,,,,,,,
,,,,,,,,,,,
480377872,818530,0,0,481196402,0,481174816,,,,,
589537024,0,0,0,589537024,0,589536799,,,1.23,,
,,,,,,,,,,,
,,,,,,,,,,,
789428328,93074015,0,0,882502343,0,882474769,,,,,
994010176,10420416,0,0,1004430592,0,1004430255,,,1.26,,
,,,,,,,,,,,
,,,,,,,,,,,
518814921,1124912831,0,0,1643727752,0,1643694371,,,,,
646504576,1291954624,0,0,1938459200,0,1938458870,,,1.25,,
,,,,,,,,,,,
,,,,,,,,,,,
477955546,460305,0,0,478415851,0,478394416,,,,,
594014208,0,0,0,594014208,0,594013974,,,1.24,,
,,,,,,,,,,,
,,,,,,,,,,,
797993637,75735384,0,0,873729021,0,873701685,,,,,
988369024,21043072,0,0,1009412096,0,1009411770,,,1.24,,
,,,,,,,,,,,
,,,,,,,,,,,
452760800,2019957603,0,0,2472718403,0,2472673399,,,,,
427350016,2102603328,0,0,2529953344,0,2529953049,,,0.94,,
,,,,,,,,,,,
,,,,,,,,,,,
641016818,736070275,0,0,1377087093,0,1377053655,,,,,
855616767,777052000,0,0,1632668767,0,1632668031,,,1.33,,
,,,,,,,,,,,
,,,,,,,,,,,
768617616,426674376,0,0,1195291992,0,1195270849,,,,,
1125353264,64335360,0,0,1189688624,0,1189688371,,,1.46,,
,,,,,,,,,,,
,,,,,,,,,,,
455339699,1972577792,0,0,2427917491,0,2427875823,,,,,
424607360,2135759936,0,0,2560367296,0,2560366970,,,0.93,,
,,,,,,,,,,,
,,,,,,,,,,,
625227039,754121408,0,0,1379348447,0,1379318551,,,,,
830490048,759438848,0,0,1589928896,0,1589928562,,,1.33,,
,,,,,,,,,,,
,,,,,,,,,,,
761473048,441117560,0,0,1202590608,0,1202570540,,,,,
1207680192,178020032,0,0,1385700224,0,1385699893,,,1.59,,
,,,,,,,,,,,
,,,,,,,,,,,
456978386,1984824179,0,0,2441802565,0,2441761465,,,,,
420312649,2191555672,0,0,2611868321,0,2611867937,,,0.92,,
,,,,,,,,,,,
,,,,,,,,,,,
661529983,694082960,0,0,1355612943,0,1355578697,,,,,
802034581,734549897,0,0,1536584478,0,1536584186,,,1.21,,
,,,,,,,,,,,
,,,,,,,,,,,
757289514,453889593,0,0,1211179107,0,1211159552,,,,,
1209728064,168057920,0,0,1377785984,0,1377785614,,,1.6,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
453656600,997659072,0,0,1451315672,0,1451256790,,,,,
524780038,1769260692,0,0,2294040730,0,2294030717,,,1.16,,
,,,,,,,,,,,
,,,,,,,,,,,
221528562,22341,0,0,221550903,0,221543405,,,,,
178284177,0,0,0,178284177,0,178283898,,,0.8,,
,,,,,,,,,,,
,,,,,,,,,,,
738743763,188895534,0,0,927639297,0,927605428,,,,,
726066816,5015488,0,0,731082304,0,731082032,,,0.98,,
,,,,,,,,,,,
,,,,,,,,,,,
521252519,840208434,0,0,1361460953,0,1361427549,,,,,
579377600,1498643904,0,0,2078021504,0,2078020882,,,1.11,,
,,,,,,,,,,,
,,,,,,,,,,,
221351236,0,0,0,221351236,0,221343615,,,,,
178501120,0,0,0,178501120,0,178500948,,,0.81,,
,,,,,,,,,,,
,,,,,,,,,,,
747808366,159001831,0,0,906810197,0,906777372,,,,,
733040448,3427584,0,0,736468032,0,736467784,,,0.98,,
,,,,,,,,,,,
,,,,,,,,,,,
515429981,893178261,0,0,1408608242,0,1408573662,,,,,
589269330,1452981696,0,0,2042251026,0,2042250280,,,1.14,,
,,,,,,,,,,,
,,,,,,,,,,,
220037224,0,0,0,220037224,0,220029738,,,,,
178874752,0,0,0,178874752,0,178874575,,,0.81,,
,,,,,,,,,,,
,,,,,,,,,,,
746687315,151733408,0,0,898420723,0,898389414,,,,,
761780736,2921920,0,0,764702656,0,764702402,,,1.02,,
,,,,,,,,,,,
,,,,,,,,,,,
423414739,2081626763,0,0,2505041502,0,2504979433,,,,,
477747347,2250140230,0,0,2727887577,0,2727886495,,,1.13,,
,,,,,,,,,,,
,,,,,,,,,,,
590884813,678038362,0,0,1268923175,0,1268886829,,,,,
829002752,725070720,0,0,1554073472,0,1554073053,,,1.4,,
,,,,,,,,,,,
,,,,,,,,,,,
623886832,752744233,0,0,1376631065,0,1376600418,,,,,
926402944,536522496,0,0,1462925440,0,1462924982,,,1.48,,
,,,,,,,,,,,
,,,,,,,,,,,
516037990,1790361952,0,0,2306399942,0,2306346538,,,,,
243398848,2377210934,0,0,2620609782,0,2620608775,,,0.47,,
,,,,,,,,,,,
,,,,,,,,,,,
552121559,780108582,0,0,1332230141,0,1332188282,,,,,
852467328,679772224,0,0,1532239552,0,1532239158,,,1.54,,
,,,,,,,,,,,
,,,,,,,,,,,
589876683,793591614,0,0,1383468297,0,1383438950,,,,,
939382464,532455552,0,0,1471838016,0,1471837553,,,1.59,,
,,,,,,,,,,,
,,,,,,,,,,,
517356152,1767741852,0,0,2285098004,0,2285046835,,,,,
232277056,2448972672,0,0,2681249728,0,2681249047,,,0.45,,
,,,,,,,,,,,
,,,,,,,,,,,
572267362,731901075,0,0,1304168437,0,1304127682,,,,,
863859896,594144086,0,0,1458003982,0,1458003638,,,1.51,,
,,,,,,,,,,,
,,,,,,,,,,,
601601516,767501736,0,0,1369103252,0,1369074421,,,,,
951281856,506019648,0,0,1457301504,0,1457301059,,,1.58,,
